발생일시,월별,시간대별,관할해경서,발생해역,위도,경도,기상상태,발생원인,발생유형,사고선박수,발생인원,구조,부상,사망,실종,선 종,톤수
2024-12-19 14:24,12,14,사천,항계 내,34 | 55 | 28,128 | 3 | 51,양호,관리소홀,침수,1,0,0,0,0,0,어선,54
2024-12-19 14:06,12,14,제주,항계 내,33 | 30 | 9,126 | 27 | 3,양호,정비불량,기관손상,1,1,1,0,0,0,모터보트,2.37
2024-12-19 13:33,12,13,속초,영해,38 | 7 | 28,128 | 39 | 25,양호,정비불량,기관손상,1,1,1,0,0,0,어선,3
2024-12-19 13:31,12,13,여수,영해,34 | 29 | 4,127 | 47 | 45,양호,운항부주의,부유물감김,1,22,22,0,0,0,낚시어선,9.77
2024-12-19 11:52,12,11,서귀포,영해,33 | 9 | 50,126 | 16 | 0,양호,운항부주의,부유물감김,1,2,2,0,0,0,어선,4.35
2024-12-19 11:02,12,11,부산,영해,34 | 59 | 57,128 | 59 | 36,양호,정비불량,기관손상,1,1,1,0,0,0,어선,2.49
2024-12-19 10:44,12,10,제주,영해-EEZ,33 | 52 | 28,126 | 25 | 39,양호,운항부주의,부유물감김,1,13,13,0,0,0,어선,39
2024-12-19 08:22,12,8,통영,영해,34 | 50 | 25,128 | 27 | 29,양호,운항부주의,부유물감김,1,4,4,0,0,0,어선,19
2024-12-19 07:34,12,7,태안,영해,36 | 40 | 9,126 | 6 | 47,양호,정비불량,기관손상,1,3,3,0,0,0,어선,6.67
2024-12-19 07:09,12,7,여수,영해,34 | 53 | 19,127 | 40 | 21,양호,운항부주의,접촉,1,4,4,0,0,0,예부선,141
2024-12-19 07:09,12,7,여수,영해,34 | 53 | 19,127 | 40 | 21,양호,운항부주의,접촉,1,1,1,0,0,0,예부선,1980
2024-12-19 07:09,12,7,여수,영해,34 | 53 | 19,127 | 40 | 21,양호,운항부주의,접촉,1,4,4,0,0,0,예부선,104
2024-12-19 07:09,12,7,여수,영해,34 | 53 | 19,127 | 40 | 21,양호,운항부주의,접촉,1,1,1,0,0,0,예부선,848
2024-12-19 06:21,12,6,제주,영해-EEZ,33 | 24 | 46,125 | 58 | 39,양호,운항부주의,부유물감김,1,11,11,0,0,0,어선,29
2024-12-19 04:58,12,4,사천,항계 내,34 | 55 | 28,128 | 4 | 13,양호,운항부주의,충돌,1,1,1,0,0,0,어선,4.79
2024-12-19 04:58,12,4,사천,항계 내,34 | 55 | 28,128 | 4 | 13,양호,운항부주의,충돌,1,1,1,1,0,0,어선,2.7
2024-12-19 04:58,12,4,사천,항계 내,34 | 55 | 28,128 | 4 | 13,양호,운항부주의,충돌,1,2,2,0,0,0,어선,2.82
2024-12-19 01:46,12,1,완도,항계 내,34 | 12 | 0,126 | 37 | 60,풍랑주의보,운항부주의,부유물감김,1,4,4,0,0,0,예부선,64
2024-12-18 16:45,12,16,창원,영해,35 | 3 | 11,128 | 35 | 52,양호,배터리 방전,운항저해,1,1,1,0,0,0,모터보트,1.9
2024-12-18 12:35,12,12,포항,영해,36 | 1 | 30,129 | 36 | 8,황천6급,정비불량,키손상,1,6,6,0,0,0,어선,7.93
